region_id,region_name,term,regional_count,global_count,relative_ratio
11,Biobio,inspeccion,297,7342,1.0591244288713977
11,Biobio,establecimientos,1138,28143,1.0587094447786667
11,Biobio,vecinas,375,9275,1.0585765412581072
11,Biobio,integridad,629,15559,1.0584586116993404
11,Biobio,eres,1164,28793,1.0584515400341887
11,Biobio,realizadas,668,16524,1.058439873585549
11,Biobio,correspondientes,907,22449,1.057828352870148
11,Biobio,jueza,520,12871,1.0577815053972186
11,Biobio,edicion,2435,60271,1.0577803241187913
11,Biobio,imposible,842,20843,1.0576860564259463
11,Biobio,clinico,286,7080,1.057639571438161
11,Biobio,estableciendo,218,5397,1.0575696807346449
11,Biobio,posteriormente,2587,64048,1.0575374896318201
11,Biobio,animales,1548,38329,1.057422102075645
11,Biobio,misma,6609,163664,1.0572738887785795
11,Biobio,conseguir,1073,26572,1.0572565740219053
11,Biobio,llamado,4313,106815,1.0571877675904107
11,Biobio,ocurren,228,5647,1.0571143671795142
11,Biobio,cirugia,476,11791,1.0569665161564847
11,Biobio,quedaran,206,5103,1.0569308347010529
11,Biobio,largo,4922,121952,1.0567143335535627
11,Biobio,feriado,462,11448,1.0566162143298512
11,Biobio,minimas,387,9591,1.0564574014820507
11,Biobio,interesantes,240,5948,1.0564408791035849
11,Biobio,siente,867,21489,1.0563499295188512
11,Biobio,encabezo,226,5603,1.0560700657781812
11,Biobio,cristiana,478,11851,1.0560337899678236
11,Biobio,cuestionado,360,8926,1.055967457244251
11,Biobio,canto,378,9373,1.0558885948501324
11,Biobio,efectivas,298,7390,1.0557880491512295
11,Biobio,salga,306,7590,1.0555639914173722
11,Biobio,pasado,12457,308988,1.0555450348712099
11,Biobio,falsificacion,243,6028,1.0554506848489507
11,Biobio,contemporaneo,218,5408,1.0554185589727956
11,Biobio,necesitaba,338,8386,1.0552776939397734
11,Biobio,falsos,277,6873,1.0552086465441766
11,Biobio,presentara,948,23523,1.0551654073964667
11,Biobio,operando,303,7519,1.0550850266653153
11,Biobio,usted,1168,28988,1.0549442423768294
11,Biobio,hara,1008,25024,1.054650873777738
11,Biobio,primo,224,5561,1.0546298014111817
11,Biobio,decian,316,7845,1.0546274008152574
11,Biobio,masivas,215,5338,1.0545442464525152
11,Biobio,enfrentar,2706,67195,1.0543765783754606
11,Biobio,pelea,1110,27564,1.0543520665977386
11,Biobio,considerada,397,9859,1.0542959937267662
11,Biobio,ingles,1172,29110,1.054120652828398
11,Biobio,hecha,352,8743,1.0541128344655055
11,Biobio,efectuo,236,5862,1.054074009398326
11,Biobio,inedito,317,7877,1.0536668891518954
11,Biobio,dicha,1982,49258,1.0534933337001011
11,Biobio,todavia,2608,64819,1.0534409014558737
11,Biobio,corriendo,255,6338,1.0533989027634714
11,Biobio,liga,1787,44420,1.0532971628300707
11,Biobio,llegado,1068,26555,1.053003617120736
11,Biobio,tribunales,877,21809,1.052855467924638
11,Biobio,buque,802,19945,1.0527984665798267
11,Biobio,logrando,620,15422,1.0525819220169876
11,Biobio,concepto,1002,24924,1.052579469856019
11,Biobio,llave,487,12114,1.0525586579984094
11,Biobio,preciso,1714,42637,1.052516939319969
11,Biobio,acogida,241,5996,1.0523503127688303
11,Biobio,miembros,2089,51981,1.0522010381092024
11,Biobio,instalo,325,8089,1.0519459880677153
11,Biobio,mantencion,302,7517,1.0518826911058563
11,Biobio,llevar,2591,64494,1.0518480733363407
11,Biobio,explicacion,420,10455,1.0517927413284758
11,Biobio,roman,284,7070,1.051728983433467
11,Biobio,queridos,428,10655,1.0517081297249633
11,Biobio,catolica,2106,52429,1.0516995996808784
11,Biobio,descripcion,229,5703,1.0513250846776259
11,Biobio,lopez,1554,38703,1.0512628093217604
11,Biobio,turno,1092,27199,1.0511740169687107
11,Biobio,ocurriendo,351,8743,1.0511181957312283
11,Biobio,alcanzaran,254,6329,1.0507600125234788
11,Biobio,argumentando,473,11786,1.0507505356049347
11,Biobio,firmo,537,13381,1.0507287875107931
11,Biobio,existente,247,6157,1.0503467978048742
11,Biobio,infantiles,350,8725,1.050285874936888
11,Biobio,caminar,406,10121,1.0502858749368877
11,Biobio,perfectamente,377,9399,1.050182112254124
11,Biobio,ventanas,269,6708,1.049939179497295
11,Biobio,paulina,761,18978,1.0498787138438985
11,Biobio,debio,1131,28206,1.04984701904664
11,Biobio,presentando,317,7906,1.049801933449213
11,Biobio,daria,205,5113,1.049742992964148
11,Biobio,nombrar,213,5313,1.0496504676559306
11,Biobio,contado,266,6636,1.0494945202993524
11,Biobio,agregaron,431,10753,1.0494277412425217
11,Biobio,ninos,5056,126147,1.0493854895505332
11,Biobio,muestras,560,13972,1.0493838258029597
11,Biobio,reconocimiento,1651,41196,1.049293396815155
11,Biobio,conectividad,612,15271,1.0492738779199602
11,Biobio,legales,1318,32888,1.0492593853711722
11,Biobio,cargo,5991,149495,1.0492465940975888
11,Biobio,destruccion,443,11055,1.0491797393963134
11,Biobio,intentar,983,24532,1.0491207526524344
11,Biobio,menudo,501,12505,1.0489600442499565
11,Biobio,estetica,546,13629,1.0488987485337133
11,Biobio,embarcaciones,297,7414,1.0488388935492046
11,Biobio,confirmacion,305,7614,1.0487980783299282
11,Biobio,dedicado,540,13481,1.0487610922812312
11,Biobio,conductas,442,11035,1.0487086445466662
11,Biobio,provoco,1237,30888,1.0485395759949048
11,Biobio,irregularidades,716,17879,1.0485151597354008
11,Biobio,barreras,433,10813,1.0484473092100624
11,Biobio,pendiente,715,17856,1.0483994407737147
11,Biobio,funcionando,360,8993,1.0481002472325347
11,Biobio,primeras,1800,44969,1.048007018541905
11,Biobio,interseccion,541,13519,1.0477498640059961
11,Biobio,instalado,303,7572,1.0476999888400034
11,Biobio,tradicion,831,20767,1.0476885001730811
11,Biobio,campamento,321,8022,1.047676712997334
11,Biobio,pensar,1456,36387,1.047659222159268
11,Biobio,contratar,284,7098,1.0475801511516782
11,Biobio,rapidamente,1778,44442,1.0474735798305135
11,Biobio,menores,2395,59865,1.047459999278582
11,Biobio,parecer,871,21778,1.0471407907634185
11,Biobio,reafirmo,289,7226,1.0471401252620443
11,Biobio,disposicion,1891,47287,1.0470192891091685
11,Biobio,sienta,232,5803,1.0467436390277187
11,Biobio,maravilloso,286,7154,1.046699492001982
11,Biobio,generado,2068,51738,1.0465158588740382
11,Biobio,tommy,237,5930,1.0464020184733174
11,Biobio,notar,225,5630,1.0463549648492656
11,Biobio,ideas,1297,32456,1.0462847550701766
11,Biobio,multiples,1639,41020,1.046136159379613
11,Biobio,aislamiento,200,5006,1.0460298223645164
11,Biobio,originarios,263,6584,1.0458534716502357
11,Biobio,admite,204,5107,1.0458495783379487
11,Biobio,sorprender,221,5533,1.0457708198601536
11,Biobio,invitamos,234,5861,1.0453195001169457
11,Biobio,tocado,269,6738,1.045264472553852
